time,Open,High,Low,Close,Volume,usd/vnd,Signal
2019-01-02,6.69,6.69,6.5,0.28024489092006555,1037420,23.194,0
2019-01-03,6.5,6.57,6.27,0.27463999310166426,3018830,23.194,0
2019-01-04,6.34,6.42,6.15,0.2737777011296025,1928210,23.194,0
2019-01-07,6.47,6.57,6.42,0.2780891609899112,1645360,23.194,0
2019-01-08,6.42,6.47,6.35,0.2767957230318186,834840,23.194,0
2019-01-09,6.44,6.55,6.42,0.2767957230318186,2027690,23.194,0
2019-01-10,6.44,6.52,6.42,0.2776580150038803,988700,23.194,0
2019-01-11,6.47,6.5,6.39,0.2759334310597569,1158060,23.194,0
2019-01-14,6.4,6.44,6.32,0.275502285073726,1149670,23.194,0
2019-01-15,6.39,6.49,6.37,0.2780891609899112,1168800,23.194,0
2019-01-16,6.47,6.69,6.47,0.2867120807105286,3962960,23.194,0
2019-01-17,6.64,6.67,6.37,0.27463999310166426,1419860,23.194,0
2019-01-18,6.47,6.54,6.42,0.2780891609899112,1672450,23.194,0
2019-01-21,6.47,6.77,6.47,0.2892989566267138,2531400,23.194,0
2019-01-22,6.71,6.82,6.59,0.2841252047943434,2282970,23.194,0
2019-01-23,6.55,6.69,6.55,0.28757437268259034,1413360,23.194,0
2019-01-24,6.67,6.77,6.6,0.291885832542899,2058500,23.194,0
2019-01-25,6.74,6.81,6.67,0.2897301026127447,1353240,23.194,0
2019-01-28,6.72,6.76,6.54,0.29032429340098503,1415780,22.733199219,0
2019-01-29,6.6,6.71,6.52,0.2892989566267138,1602910,23.194,0
2019-01-30,6.72,6.76,6.65,0.28757437268259034,1292190,23.194,0
2019-01-31,6.72,6.82,6.72,0.291885832542899,2385210,23.194,0
2019-02-01,6.77,6.81,6.64,0.28961772184631296,3212780,23.203,0
2019-02-11,6.79,7.11,6.76,0.31098690193550066,3188300,22.862699219,0
2019-02-12,7.17,7.22,7.09,0.30858078696720254,3980620,23.203,0
2019-02-13,7.17,7.27,7.16,0.31073568073094,3440610,23.203,0
2019-02-14,7.21,7.22,7.11,0.3068568719562126,2299990,23.203,0
2019-02-15,7.11,7.21,7.01,0.3068568719562126,2818810,23.203,0
2019-02-18,7.17,7.26,7.16,0.31073568073094,1634010,23.203,0
2019-02-19,7.27,7.31,7.11,0.3064258932034651,2998200,23.203,0
2019-02-20,7.09,7.17,7.01,0.3055639356979701,2173510,23.203,0
2019-02-21,7.14,7.17,7.01,0.30901176571995004,2551090,23.203,0
2019-02-22,7.09,7.26,7.07,0.30858078696720254,2761050,23.203,0
2019-02-25,7.27,7.31,7.19,0.31551539286261293,2504220,22.8515,0
2019-02-26,7.17,7.26,7.07,0.30771882946170753,2884870,23.203,0
2019-02-27,7.11,7.16,7.07,0.3064258932034651,1606160,23.203,0
2019-02-28,7.11,7.11,6.91,0.2991637210104319,2771900,23.198,0
2019-03-01,6.94,7.01,6.91,0.30218122251918267,2197980,23.198,0
2019-03-04,7.01,7.24,7.01,0.3090783688248987,3088630,23.198,0
2019-03-05,7.16,7.27,7.12,0.3090783688248987,3627360,23.198,0
2019-03-06,7.17,7.19,7.09,0.30778515389257693,1409590,23.198,0
2019-03-07,7.14,7.22,7.11,0.30778515389257693,2681570,23.198,0
2019-03-08,7.07,7.12,7.01,0.3043365807397189,2774400,23.198,0
2019-03-11,7.06,7.11,7.02,0.31017343574081674,799600,22.793699218999997,0
2019-03-12,7.11,7.21,7.02,0.3108026554013277,2561330,23.198,0
